,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
mean_fit_time,0.01993565559387207,0.019199705123901366,0.02608513832092285,0.026924657821655273,0.020573520660400392,0.017012310028076173,0.2646606922149658,0.3131089210510254,0.31828060150146487,0.11515970230102539,0.14485960006713866,0.13775229454040527,0.05154461860656738,0.09048318862915039,0.07449679374694824,0.056928491592407225,0.09442152976989746,0.10622076988220215,0.07989945411682128,0.08349008560180664,0.06565933227539063,0.04545860290527344,0.3594373226165771,0.04178342819213867,0.3984780788421631,0.055237627029418944,0.3485100269317627
std_fit_time,0.004428615100022687,0.0049764088713082945,0.00784758645377893,0.010559252597995054,0.005392753334356963,0.0016249936875079548,0.0701864776035804,0.05147521660640021,0.025562251751176348,0.03989441846430238,0.05406036191324753,0.056169881385586505,0.00758203880842168,0.08181735669030138,0.02244538300015611,0.01870059362367922,0.051463545853450865,0.0357738461186973,0.011593799855610076,0.03847152403408838,0.005569453566856442,0.013471316863224676,0.03663812557192413,0.00328684804193628,0.05711030938293314,0.014624610589768838,0.047728997905373015
mean_score_time,0.008763504028320313,0.010280036926269531,0.007695770263671875,0.010363197326660157,0.010743188858032226,0.005518770217895508,0.005966329574584961,0.007806301116943359,0.007810354232788086,0.0074307918548583984,0.005672979354858399,0.005565166473388672,0.005568838119506836,0.0062831401824951175,0.00795888900756836,0.005598211288452148,0.007496976852416992,0.007191610336303711,0.007972145080566406,0.00904831886291504,0.007575082778930664,0.008111381530761718,0.02681584358215332,0.008450698852539063,0.028301143646240236,0.007239198684692383,0.023788595199584962
std_score_time,0.006305184619545092,0.005607836899778554,0.002831649551426281,0.005705036152736963,0.006036393730091564,0.0013451672377541956,0.0009399330630141145,0.0026107333191587923,0.004690175901923867,0.0022225041162838395,0.0007921477350793702,0.0012003259265984361,0.0005476049204074375,0.0020428681695242746,0.0027653600559588644,0.000628619285161917,0.0022811089885608204,0.0018200466407779926,0.0018552067860044014,0.0031306499304924584,0.0030446655570669956,0.0011672129553775834,0.009548860674583546,0.0019440633244210508,0.0032050665742773448,0.0010628971466054432,0.009951958882121767
param_clf,SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),"MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","RandomForestClassifier(max_depth=3, n_estimators=10)","RandomForestClassifier(max_depth=3, n_estimators=10)","RandomForestClassifier(max_depth=3, n_estimators=10)","RandomForestClassifier(max_depth=3, n_estimators=10)","RandomForestClassifier(max_depth=3, n_estimators=10)","RandomForestClassifier(max_depth=3, n_estimators=10)"
param_clf__C,1,1,50,50,1000,1000,,,,,,,,,,,,,,,,,,,,,
param_clf__gamma,0.001,0.0001,0.001,0.0001,0.001,0.0001,,,,,,,,,,,,,,,,,,,,,
param_clf__kernel,rbf,rbf,rbf,rbf,rbf,rbf,,,,,,,,,,,,,,,,,,,,,
param_sclr__scaler,StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler()
param_clf__alpha,,,,,,,0.1,0.1,0.1,0.001,0.001,0.001,1e-05,1e-05,1e-05,1e-07,1e-07,1e-07,1e-09,1e-09,1e-09,,,,,,
param_clf__hidden_layer_sizes,,,,,,,10,12,14,10,12,14,10,12,14,10,12,14,10,12,14,,,,,,
param_clf__solver,,,,,,,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,,,,,,
param_clf__max_depth,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,7,7
param_clf__n_estimators,,,,,,,,,,,,,,,,,,,,,,10,100,10,100,10,100
params,"{'clf': SVC(probability=True), 'clf__C': 1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 50, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 3, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 5, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 5, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 7, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3, n_estimators=10), 'clf__max_depth': 7, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}"
split0_test_score,0.7058823529411765,0.5294117647058824,0.4117647058823529,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.35294117647058826,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.29411764705882354
split1_test_score,0.5,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.375,0.375,0.5,0.4375,0.375,0.4375,0.375,0.5,0.4375,0.375,0.5625,0.4375,0.4375,0.5,0.4375,0.5,0.4375
split2_test_score,0.6875,0.5,0.625,0.625,0.75,0.625,0.625,0.625,0.6875,0.625,0.5,0.625,0.5625,0.5625,0.5625,0.5625,0.625,0.5625,0.625,0.625,0.625,0.625,0.6875,0.625,0.6875,0.625,0.625
split3_test_score,0.6875,0.5,0.9375,0.8125,0.9375,0.9375,1.0,0.9375,1.0,0.875,0.875,1.0,0.9375,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,0.9375,0.8125,0.875,0.875,0.875,0.75,0.875
split4_test_score,0.8125,0.5625,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.75,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.6875,0.875
mean_test_score,0.6786764705882353,0.5183823529411764,0.6823529411764706,0.6566176470588235,0.6823529411764706,0.6698529411764705,0.6941176470588235,0.6933823529411764,0.7066176470588236,0.6816176470588236,0.6066176470588236,0.6691176470588236,0.6573529411764706,0.6926470588235294,0.6191176470588236,0.6683823529411764,0.6566176470588235,0.6691176470588236,0.6933823529411764,0.6676470588235295,0.7176470588235294,0.6205882352941177,0.6691176470588236,0.6573529411764706,0.6573529411764706,0.5477941176470589,0.6213235294117647
std_test_score,0.10072724313039903,0.02482638678843255,0.19651208174027415,0.16255821421995453,0.19651208174027415,0.20551963847600538,0.20914432691557486,0.17974294409393962,0.20649069786433058,0.16536109172788938,0.19896466449162015,0.23653167194671845,0.20972516617878675,0.2100754725146397,0.20167175444219348,0.20715729192721147,0.2197730033702516,0.20465759657024712,0.21167788252804565,0.18960895836807293,0.15652268593105811,0.20333774126861312,0.18877163937919816,0.19018976136669324,0.20213768903576523,0.2032393376630184,0.23219465941660178
