compound_name,y,smiles,atomic_mass_high,atomic_mass_low,gasteiger_charge_high,gasteiger_charge_low,crippen_logp_high,crippen_logp_low,crippen_mr_high,crippen_mr_low,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,MolLogP,MolMR,ExactMolWt,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHBA,NumHBD,NumHeteroatoms,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumSpiroAtoms,TPSA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
paclitaxel,1,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,16.63726267137172,9.44359263310062,2.780723982858056,-2.6703099251237656,2.641516956364917,-2.815220388494738,5.960987193723824,-0.3455531656402237,62.0,20.472849958329036,17.3540403012464,13.479855154842255,10.182540514539149,62.0,20.472849958329036,17.3540403012464,13.479855154842255,10.182540514539149,3.735700000000004,217.69009999999943,853.3309553120001,0.44680851063829785,-5.739999999999999,44.3203576455078,16.512845507693864,7.294407711419627,357.8854073908183,1,0,1,1,3,2,3,7,3,3,4,11,2,14,4,15,15,4,10,0,221.28999999999996,44.32068555752869,19.178148736287287,9.589074368143644,0.0,0.0,80.57751215245897,54.82260322506322,37.667559606327046,35.64903718866435,23.912949974228596,23.592228532845233,0.0,5.907179729351506,23.877221151807397,67.77112005795328,0.0,5.316788604006331,16.747886984954953,108.2518072216009,6.606881964512918,118.83206956215372,0.0,0.0,35.56764582752384,5.316788604006331,105.3200099250161,42.86246350528753,16.747886984954953,86.70533611637833,102.14171508706272,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,0,0,0,0,1,0,13,1,62,24,6,0,28,10,0,10,29,15,4,4,0,0,15,5,7,0,19,12,4,0,1,0,5,0,1,0,0,7,4
vincristine,1,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,16.57711479705112,9.473289556166396,2.806532283906894,-2.6278733699982895,2.680758009024113,-2.8116779096292044,5.963184393502407,-0.22799605641174203,60.0,21.259764842829103,18.10572185256904,15.501373008289516,13.364986680028899,60.0,21.259764842829103,18.10572185256904,15.501373008289516,13.364986680028899,3.517500000000003,220.56829999999945,824.3996439920003,0.5652173913043478,-4.760000000000001,40.63584631061215,14.149039827212606,5.194742988591859,349.301117818847,6,1,2,5,2,1,1,9,3,3,6,9,2,12,3,14,14,3,8,1,171.17000000000002,39.04439485667929,24.18343101391642,4.794537184071822,0.0,0.0,44.19861581843384,74.24722930994724,78.20125607837056,38.659670538647816,11.164502302680685,6.103966387748303,12.011146117099809,0.0,17.90791586385555,48.338655341168895,0.0,14.783797982648164,11.332896515558172,99.51587194343307,58.95308438424594,70.93452509437687,0.0,5.749511833283905,40.90832237673628,9.636772684650527,132.75778826370833,50.639540159407,11.332896515558172,75.25960218364136,48.55024262443742,0.0,10.902924932081056,0.0,5.687386274683562,5.749511833283905,0.0,46,0,0,0,0,0,0,0,4,10,0,60,19,4,0,36,9,0,8,24,14,3,3,0,0,12,7,3,0,18,15,5,0,0,3,5,0,0,1,0,14,9
LTC4,1,CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,32.16662217291836,10.088200172626882,2.2541930129535417,-2.2308045344528296,2.2156753610881204,-2.495531754764439,7.9971736924163865,-0.13896405088640215,43.0,14.410852894274338,9.76715340826815,5.973642985875914,3.538243797778922,43.0,15.459607684254998,10.978151128886628,7.355627642282463,4.74768893513637,2.776900000000002,166.4799999999998,625.3033010839999,0.5666666666666667,-3.4200000000000004,39.58,25.111740016713856,22.8034601099257,257.111430815191,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,13,12,8,25,0,216.34999999999997,36.79335426453767,23.97268592035911,0.0,0.0,11.761884949391115,68.37354130021369,38.524929737556064,23.844434882580984,6.103966387748303,18.628438064208495,0.0,11.814359458703011,0.0,17.90791586385555,44.39879549972193,0.0,10.633577208012662,5.733667477162185,94.56953950497713,12.297610012659364,48.60816085467105,0.0,0.0,41.48416027194967,16.367244685174846,85.88358099060714,23.97268592035911,0.0,71.13195342895074,48.60816085467105,0.0,0.0,0.0,0.0,0.0,11.761884949391115,30,0,0,0,0,1,0,3,0,9,0,43,33,9,0,0,0,0,25,21,12,8,7,0,0,11,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E217bG,1,CC12CCC3C(C1CCC2OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O,16.712135410452678,9.551578083550972,2.569990530064548,-2.5108691042247715,2.6146935517096996,-2.6099642595210817,5.730115086786487,-0.31200411422312363,32.0,11.601577804689272,10.280290305977735,8.734532388581558,7.070576369387603,32.0,11.601577804689272,10.280290305977735,8.734532388581558,7.070576369387603,1.5257000000000003,111.91400000000004,448.2097179839999,0.7083333333333334,-1.7099999999999997,22.10054820271506,7.953267381625751,3.351221881848014,186.33681788455658,1,0,1,1,1,2,3,5,1,3,4,10,0,7,5,8,8,5,3,0,136.68,35.006362881803625,0.0,4.794537184071822,0.0,0.0,12.990104268152233,84.95327546575425,0.0,6.103966387748303,24.061410996528814,12.393993117083514,0.0,0.0,5.969305287951849,39.80090006587544,0.0,0.0,17.250802561719567,88.1764316514848,0.0,29.32600418877882,0.0,5.749511833283905,5.969305287951849,0.0,68.3118009302321,20.68908471459793,17.250802561719567,56.07265434387607,18.19910120538483,0.0,0.0,0.0,0.0,5.749511833283905,0.0,24,0,0,0,0,0,0,0,0,7,1,32,9,1,0,23,3,0,3,16,8,5,5,0,0,7,1,1,0,10,12,1,0,0,1,4,0,0,0,0,6,3
gemcitabine,1,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,19.285892497514457,10.113259945532517,2.5898329279445518,-2.2035229947675776,2.4136828214623733,-2.4135057066652053,5.23343379772716,-0.1404876149228341,18.0,5.04475346305023,3.8710878934285597,2.663557921514029,1.7228616480990466,18.0,5.04475346305023,3.8710878934285597,2.663557921514029,1.7228616480990466,-1.2886000000000004,54.859000000000016,263.071762272,0.5555555555555556,-1.5800000000000003,12.866060785008983,4.264616604979354,1.8546532535041431,99.43404632324699,2,1,1,1,0,0,0,2,1,1,1,3,0,7,3,9,7,4,2,0,110.60000000000001,20.683585220643646,4.567099647791355,4.794537184071822,13.764808616296849,0.0,0.0,6.06636706846161,6.196843571613076,6.606881964512918,11.92182916558333,6.103966387748303,6.22790117073487,0.0,11.61227256629805,23.7307478388311,0.0,9.551078168738563,0.0,24.358363114326053,12.340549441675103,22.74749122234998,0.0,0.0,5.817862777835028,11.423410875365658,44.501476866524065,4.736862953800049,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,14.598692873184667,0.0,0.0,9,2,0,0,0,0,0,1,2,3,1,18,7,1,0,8,3,0,2,11,7,4,3,0,0,6,1,0,0,4,6,1,0,0,1,1,0,0,0,0,0,0
araC,1,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,16.562986528413823,10.12830181489577,2.431834336964671,-2.1622368233688665,2.2736559889482395,-2.355745031918357,5.232082740016898,-0.054897640285205745,17.0,5.014304277265206,3.7711079251974,2.642834143988184,1.7293735696353043,17.0,5.014304277265206,3.7711079251974,2.642834143988184,1.7293735696353043,-2.562999999999999,55.918800000000026,243.085520516,0.5555555555555556,-1.4800000000000002,11.98960467611348,4.414475063137193,2.025663273733915,95.89720926959055,2,1,1,1,0,0,0,2,1,1,1,4,0,8,4,8,8,5,2,0,130.83,25.790112615484354,4.567099647791355,4.794537184071822,4.9839785209472085,0.0,0.0,6.06636706846161,6.196843571613076,6.606881964512918,24.129761941079934,6.22790117073487,0.0,0.0,5.689743398203474,20.056445138322168,0.0,9.551078168738563,0.0,24.539800333979777,12.340549441675103,22.74749122234998,0.0,0.0,5.817862777835028,11.423410875365658,49.7894414810185,4.736862953800049,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,5.817862777835028,0.0,0.0,9,0,0,0,0,0,0,1,2,4,1,17,6,1,0,8,3,0,2,13,8,5,4,0,0,5,1,0,0,4,7,0,0,0,1,1,0,0,0,0,0,0
docetaxel,1,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,16.637249605455974,9.444002592441578,2.7763671761423083,-2.6697491254754104,2.63791925845534,-2.8142152568366052,5.938738292123974,-0.34551814574934353,58.0,19.334662985157728,17.573846614463754,12.567167885693927,9.559609692764472,58.0,19.334662985157728,17.573846614463754,12.567167885693927,9.559609692764472,3.259600000000003,203.60439999999946,807.3466053760001,0.5581395348837209,-4.67,42.92290432672173,15.171694085358682,7.099650361474251,336.1909090656999,1,0,1,1,2,2,3,6,2,3,4,11,2,14,5,15,15,5,8,0,224.44999999999996,49.427212952369395,9.589074368143644,14.383611552215466,0.0,0.0,62.37841094707412,63.46108068721186,25.180370914939424,35.64903718866435,35.61796717296058,17.488262145096932,0.0,0.0,24.001155934793964,68.08311026872217,0.0,5.316788604006331,16.747886984954953,127.70033243196583,6.606881964512918,82.93678272814864,0.0,0.0,29.784400881158902,5.316788604006331,110.24434318447555,38.06792632121571,16.747886984954953,90.19482183999077,71.80987974475464,0.0,0.0,0.0,4.794537184071822,0.0,0.0,43,0,0,0,0,0,0,1,0,13,1,58,26,5,0,25,7,0,8,29,15,5,5,0,0,17,5,6,1,14,11,4,0,1,0,4,0,1,0,0,7,4
epothiloneB,1,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,32.13348132689713,9.726055086154945,2.525911063178559,-2.3420421506622686,2.447319863975845,-2.4541026311520273,7.091971488710061,-0.15412580381599839,35.0,12.623531972592097,11.267746699272594,7.927034926538876,5.066840453263061,35.0,13.503184783846992,12.329973696362543,8.718776684215522,5.637002112965611,4.477520000000004,135.87459999999996,507.265459032,0.7407407407407407,-1.61,27.9690161555879,10.788360786352277,6.586905539578758,212.4873619406242,3,1,2,2,0,0,0,3,1,2,2,7,0,8,2,8,7,2,2,0,109.25,19.68678069728151,9.589074368143644,4.9839785209472085,0.0,11.336785877934737,34.11577042168851,51.17988552798842,17.718790439553317,46.45031375825261,11.887211334113243,0.0,0.0,0.0,5.969305287951849,29.275855065425148,0.0,4.9839785209472085,17.250802561719567,110.58718487444129,0.0,21.65471899223641,0.0,0.0,29.165356219085407,0.0,56.9664999069223,19.06280027574374,24.17453976141019,84.348083004475,10.953167300535181,0.0,6.076020106833881,0.0,0.0,0.0,11.336785877934737,27,0,0,0,0,1,0,0,1,4,2,35,11,3,0,21,2,0,2,13,7,2,2,0,0,11,1,1,0,10,10,2,1,0,1,0,0,0,0,1,2,1
vinblastine,1,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,16.577001409072647,9.47334242413124,2.801494259647499,-2.6305539410810503,2.6800908904599474,-2.809862263880841,5.9461529070045795,-0.22812986890697845,59.0,21.213077288186383,18.20394764135367,15.598755531983986,13.50609086349419,59.0,21.213077288186383,18.20394764135367,15.598755531983986,13.50609086349419,3.990900000000004,220.4282999999994,810.4203794360004,0.5869565217391305,-4.430000000000001,40.00045547656914,13.801606719760814,5.196998741043846,345.1395957188032,6,1,2,5,2,1,1,9,3,3,6,9,2,12,3,13,13,3,7,1,154.1,39.04439485667929,19.388893829844598,4.794537184071822,0.0,0.0,44.19861581843384,74.24722930994724,90.93631433573132,32.97228426396425,11.164502302680685,6.103966387748303,5.601050810983688,0.0,17.90791586385555,43.54411815709707,0.0,14.783797982648164,11.332896515558172,99.51587194343307,66.00075636692313,70.93452509437687,0.0,5.749511833283905,34.49822707062016,9.636772684650527,133.3953649402694,45.845002975335184,11.332896515558172,75.25960218364136,48.55024262443742,0.0,10.902924932081056,0.0,5.687386274683562,5.749511833283905,0.0,46,0,0,0,0,0,0,0,4,9,0,59,19,3,0,36,9,0,7,22,13,3,3,0,0,12,6,3,0,18,15,5,0,0,3,5,0,0,1,0,14,9
vinorelbine,1,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,16.57691790068936,9.473343544043486,2.801229055452508,-2.630559975305666,2.6797455066639078,-2.809862831282643,5.946731439624412,-0.22812843748571449,57.0,20.349677277307414,17.17895814108686,14.759818858047547,12.844766613572085,57.0,20.349677277307414,17.17895814108686,14.759818858047547,12.844766613572085,4.753600000000004,214.07749999999942,778.3941646880003,0.5333333333333333,-4.65,37.90033363100775,13.188750570201027,4.80371045684897,333.2908168200263,6,1,1,5,2,1,1,9,3,2,6,8,2,11,2,12,12,2,7,1,133.87,33.937867461838586,19.388893829844598,4.794537184071822,0.0,0.0,55.84774045533699,61.4055860640952,90.93631433573132,27.37123345298056,11.164502302680685,6.103966387748303,5.601050810983688,0.0,17.90791586385555,38.43759076225636,0.0,14.783797982648164,11.332896515558172,87.61793429250996,59.45599996101056,82.58364973128002,0.0,5.749511833283905,34.49822707062016,9.636772684650527,116.14303032853242,45.968937758321744,11.332896515558172,68.83878056071535,60.19936726134057,0.0,10.902924932081056,0.0,5.687386274683562,5.749511833283905,0.0,45,0,0,0,0,0,0,0,4,8,0,57,18,3,0,34,10,0,7,20,12,2,2,0,0,11,6,3,0,17,16,4,0,0,3,5,0,1,0,0,14,9
