compound_name,InChl,InChl Key,Canonical SMILES,Isomeric SMILES
﻿Probenecid,"InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)",DBABZHXKTCFAPX-UHFFFAOYSA-N,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,
cAMP,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",IVOMOUWHDPKRLL-KQYNXXCUSA-N,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
﻿Glucuronic acid,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",AEMOLEFTQBMNLQ-AQKNRBDQSA-N,C1(C(C(OC(C1O)O)C(=O)O)O)O,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
PSC833,"InChI=1S/C63H111N11O12/c1-26-27-28-41(16)53(76)52-57(80)67-49(38(10)11)61(84)68(19)33-48(75)69(20)44(29-34(2)3)56(79)66-50(39(12)13)62(85)70(21)45(30-35(4)5)55(78)64-42(17)54(77)65-43(18)58(81)71(22)46(31-36(6)7)59(82)72(23)47(32-37(8)9)60(83)73(24)51(40(14)15)63(86)74(52)25/h26-27,34-47,49-52H,28-33H2,1-25H3,(H,64,78)(H,65,77)(H,66,79)(H,67,80)/b27-26+/t41-,42+,43-,44+,45+,46+,47+,49+,50+,51+,52+/m1/s1",YJDYDFNKCBANTM-QCWCSKBGSA-N,CC=CCC(C)C(=O)C1C(=O)NC(C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C
sn38,"InChI=1S/C22H20N2O5/c1-3-12-13-7-11(25)5-6-17(13)23-19-14(12)9-24-18(19)8-16-15(20(24)26)10-29-21(27)22(16,28)4-2/h5-8,25,28H,3-4,9-10H2,1-2H3/t22-/m0/s1",FJHBVJOVLFPMQE-QFIPXVFZSA-N,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O
daunorubicin,"InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3/t10-,14-,16-,17-,22+,27-/m0/s1",STQGQHZAVUOBTE-VGBVRHCVSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
dasatinib,"InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)",ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,
5-FU,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",GHASVSINZRGABV-UHFFFAOYSA-N,C1=C(C(=O)NC(=O)N1)F,
5-dFUrd,"InChI=1S/C9H11FN2O5/c1-3-5(13)6(14)8(17-3)12-2-4(10)7(15)11-9(12)16/h2-3,5-6,8,13-14H,1H3,(H,11,15,16)/t3-,5-,6-,8-/m1/s1",ZWAOHEXOSAUJHY-ZIYNGMLESA-N,CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
5-FdUrd,"InChI=1S/C9H11FN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",ODKNJVUHOIMIIZ-RRKCRQDMSA-N,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O
CdA (2'-chloro-2'-deoxyadenosine),"InChI=1S/C10H12ClN5O3/c11-5-7(18)4(1-17)19-10(5)16-3-15-6-8(12)13-2-14-9(6)16/h2-5,7,10,17-18H,1H2,(H2,12,13,14)/t4-,5-,7-,10-/m1/s1",ADXUXRNLBYKGOA-QYYRPYCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)Cl)N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)Cl)N
6-TG,"InChI=1S/C5H5N5S/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",WYWHKKSPHMUBEB-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=C(N2)N,
6-MP,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",GLVAUDGFNGKCSF-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=CN2,
mitoxantrone,"InChI=1S/C22H28N4O6/c27-11-9-23-5-7-25-13-1-2-14(26-8-6-24-10-12-28)18-17(13)21(31)19-15(29)3-4-16(30)20(19)22(18)32/h1-4,23-30H,5-12H2",KKZJGLLVHKMTCM-UHFFFAOYSA-N,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,
epothilone A,"InChI=1S/C26H39NO6S/c1-14-8-7-9-19-21(32-19)11-20(15(2)10-18-13-34-17(4)27-18)33-23(29)12-22(28)26(5,6)25(31)16(3)24(14)30/h10,13-14,16,19-22,24,28,30H,7-9,11-12H2,1-6H3/b15-10+/t14-,16+,19+,20-,21-,22-,24-/m0/s1",HESCAJZNRMSMJG-KKQRBIROSA-N,CC1CCCC2C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C,C[C@H]1CCC[C@@H]2[C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C
phomopsin A,"InChI=1S/C36H45ClN6O12/c1-8-17(5)25(32(50)39-20(35(53)54)15-23(44)45)41-30(48)21-11-10-12-43(21)34(52)29-36(6,9-2)55-22-14-18(13-19(37)28(22)47)27(46)26(38-7)33(51)40-24(16(3)4)31(49)42-29/h10-11,13-15,21,24,26-27,29,38,46-47H,3,8-9,12H2,1-2,4-7H3,(H,39,50)(H,40,51)(H,41,48)(H,42,49)(H,44,45)(H,53,54)/b20-15+,25-17+/t21-,24-,26-,27-,29+,36+/m0/s1",FAFRRYBYQKPKSY-AJSRVUJESA-N,CCC(=C(C(=O)NC(=CC(=O)O)C(=O)O)NC(=O)C1C=CCN1C(=O)C2C(OC3=C(C(=CC(=C3)C(C(C(=O)NC(C(=O)N2)C(=C)C)NC)O)Cl)O)(C)CC)C,CC/C(=C(\C(=O)N/C(=C/C(=O)O)/C(=O)O)/NC(=O)[C@@H]1C=CCN1C(=O)[C@@H]2[C@@](OC3=C(C(=CC(=C3)[C@@H]([C@@H](C(=O)N[C@H](C(=O)N2)C(=C)C)NC)O)Cl)O)(C)CC)/C
MAC321,"InChI=1S/C44H55NO16/c1-10-29(47)58-27-19-28-43(21-56-28,60-23(3)46)34-36(59-37(51)24-15-12-11-13-16-24)44(54)20-26(22(2)30(41(44,7)8)32(48)35(50)42(27,34)9)57-38(52)33(49)31(25-17-14-18-55-25)45-39(53)61-40(4,5)6/h11-18,26-28,31-34,36,48-49,54H,10,19-21H2,1-9H3,(H,45,53)/t26-,27-,28+,31-,32+,33+,34-,36-,42+,43-,44+/m0/s1",XIVMHSNIQAICTR-UQYHODNASA-N,CCC(=O)OC1CC2C(CO2)(C3C1(C(=O)C(C4=C(C(CC(C3OC(=O)C5=CC=CC=C5)(C4(C)C)O)OC(=O)C(C(C6=CC=CO6)NC(=O)OC(C)(C)C)O)C)O)C)OC(=O)C,CCC(=O)O[C@H]1C[C@@H]2[C@@](CO2)([C@@H]3[C@@]1(C(=O)[C@@H](C4=C([C@H](C[C@@]([C@H]3OC(=O)C5=CC=CC=C5)(C4(C)C)O)OC(=O)[C@@H]([C@H](C6=CC=CO6)NC(=O)OC(C)(C)C)O)C)O)C)OC(=O)C
