,name,smiles,pred,score
0,cAMP,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,0,0.205
1,paclitaxel,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1,0.909
2,vincristine,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,1,0.867
3,E217bG,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,1,0.835
4,epothiloneB,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,1,0.819
5,vinblastine,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,1,0.947
6,5-FU,O=c1[nH]cc(F)c(=O)[nH]1,0,0.105
7,6-TG,Nc1nc(=S)c2[nH]cnc2[nH]1,0,0.225
8,6-MP,S=c1nc[nH]c2nc[nH]c12,0,0.242
9,Sipholenone E,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O,1,0.508
10,WHI‐P154,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,0,0.485
11,Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,0,0.309
12,vinorelbine,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,1,0.939
