,name,smiles,pred,score
0,paclitaxel,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0,0.2949704364904109
1,vincristine,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,1,0.9206627840872297
2,LTC4,CCCCCC=CCC=CC=CC=CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(O)CCCC(=O)O,1,0.9998693799072791
3,E217bG,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,1,0.8812370052555399
4,gemcitabine,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,0,0.0002563386193467149
5,araC,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,0,0.005901809615267101
6,docetaxel,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,0,0.009214090406670141
7,epothiloneB,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,0,0.04274905053927189
8,vinblastine,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,1,0.7414085024569373
9,vinorelbine,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,1,0.7870343323785283
10,tenofovir,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,0,0.0011703198837838395
11,Lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,0,4.1150985435949906e-05
12,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1,0.632389863064044
13,PD-173074,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,0,0.14524354722307473
14,AlstolucinesB ,COC(=O)C1=C2Nc3ccccc3C23CCN2CC(C(C)=O)C1CC23,1,0.7808073954379823
15,Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0,6.72083133910554e-05
16,Vemurafenib,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,0,0.00010140292262183871
17,Tandutinib,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,0,0.03837469032819796
18,BBA,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(COC(=O)N6CCC(N7CCCCC7)CC6)C5CCC43C)C12,0,0.21148251679111715
19,Tariquidar,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1,0.8746178915344742
20,Ibrutinib,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0,0.17790441733161894
21,﻿NVP-BHG712,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,0,0.00023207403557092191
22,﻿Linsitinib,CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,0,0.0001145386445350256
23,﻿Ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0,0.0027162575426467194
24,﻿Cepharanthine,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,1,0.9998869815475254
25,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0.05351765457264601
26,Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0,0.15393062653591738
27,Vardenafil,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,0,0.04722719033114747
28,DNP-SG,NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O,1,0.9999016124307888
29,Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1,0.9659491456541857
30,Sulfinpyrazone,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0,0.127359982182038
31,﻿Glycolithocholate-3-sulfate,CC(CCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,0,0.17479940071495473
32,MK571,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,0,0.0540607524866134
33,﻿Trequinsin,COc1cc2c(cc1OC)-c1cc(=Nc3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,1,0.9970744953840575
34,﻿Taurocholate,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0,0.0264636440290793
35,17beta-Estradiol 3-sulfate-17-(beta-D-glucuronide),CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2OC1OC(C(=O)[O-])C(O)C(O)C1O,1,0.9945337870418965
36,﻿Zaprinast,CCCOc1ccccc1-c1nc2n[nH]nc2c(=O)[nH]1,0,0.004756659385085006
37,"﻿16alpha,17beta-Estriol 3-sulfate (Estradiol-3-sulfate)",CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O,0,0.20821722989381738
38,﻿17alpha-Ethynyl-17beta-estradiol (Ethinyl estradiol),C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0,0.29597092868011804
39,"﻿16alpha,17beta-Estriol 16-(beta-d-glucuronide)",CC12CCC3c4ccc(O)cc4CCC3C1CC(OC1OC(C(=O)O)C(O)C(O)C1O)C2O,1,0.9710278234166643
40,﻿Glycocholate,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0,0.0782799702001428
41,"﻿16alpha,17beta-Estriol 3-(beta-d-glucuronide) (Estriol 3-glucuronide)",CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CC(O)C2O,1,0.8974530756473517
42,﻿17beta-Estradiol 3-(beta-d-glucuronide),CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O,1,0.8571608243418938
43,﻿17-betaEstradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0,0.06552621089425224
44,Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,0.9962652262760782
45,﻿Cyclosporin A,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1,0.9770739170982639
46,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0,0.3380326417591708
47,5-azacytidine,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0,0.005701237489080179
48,ddC (2'-3'-dideoxycytidine),Nc1ccn(C2CCC(CO)O2)c(=O)n1,0,0.0009493836327278412
49,PMEA,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0,0.00034358444616812287
50,Etoposide,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1,0.9999199428002334
51,masitinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,0,0.01806094964892657
52,AST1306,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,0,7.472595020083391e-05
53,﻿Probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,1,0.9890946323737252
54,cAMP,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,0,0.0035353345934427236
55,﻿Glucuronic acid,O=C(O)C1OC(O)C(O)C(O)C1O,1,0.9998261576861034
56,PSC833,CC=CCC(C)C(=O)C1C(=O)NC(C(C)C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1,0.9923868121671244
57,sn38,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0,0.009928880103016596
58,daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,1,0.9543559308753947
59,dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0,0.0008770636324816623
60,5-FU,O=c1[nH]cc(F)c(=O)[nH]1,0,0.0010868310071521173
61,5-dFUrd,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,0,0.031676693053585545
62,5-FdUrd,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,0,0.0030299384665397125
63,CdA (2'-chloro-2'-deoxyadenosine),Nc1ncnc2c1ncn2C1OC(CO)C(O)C1Cl,0,0.00015208307965586807
64,6-TG,Nc1nc(=S)c2[nH]cnc2[nH]1,0,0.001168378648234051
65,6-MP,S=c1nc[nH]c2nc[nH]c12,0,0.0012417654175893489
66,mitoxantrone,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0,0.01067777658798429
67,epothilone A,CC(=Cc1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,0,0.05250959158533794
68,phomopsin A,C=C(C)C1NC(=O)C(NC)C(O)c2cc(Cl)c(O)c(c2)OC(C)(CC)C(C(=O)N2CC=CC2C(=O)NC(C(=O)NC(=CC(=O)O)C(=O)O)=C(C)CC)NC1=O,1,0.9937183175725446
69,MAC321,CCC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccco4)C(C)=C(C(O)C(=O)C12C)C3(C)C,0,0.005664587974451436
70,MST997,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(OC(=O)C3CCCC3)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)C)c4cccs4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,0,0.002493851093858934
71,HTI286,CNC(C(=O)NC(C(=O)N(C)C(C=C(C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,0,0.2459162084168148
72,tadalafil,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,0,0.020108658109096775
73,Sipholenone E,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O,0,0.003165089358925453
74,Sipholenol L,CC1=CCC2C(C1CCC1C(C)(O)CCC3OC(C)(C)C(O)CCC31C)C(C)(C)CCC2(C)O,0,0.005285573420418973
75,Siphonellinol D,CC(C)=CCCC1(C)C(CCC2C(C)(O)CCC3OC(C)(C)C(O)CCC32C)=C(C)CCC1O,0,0.014138316954167613
76,Sipholenol J,CC1C(=O)CC2C(C1=CCC1C(C)(O)CCC3OC(C)(C)C(O)CCC31C)C(C)(C)CCC2(C)O,0,0.002304013314299953
77,motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0,0.00023899693630119454
78,osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0,0.007747549803955504
79,cabazitaxel,COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,0,0.019227848828383395
80,ribociclib,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,0.00036720388476139265
81,pd0325901,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,0,0.0003654448294916827
82,mek162,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,0,0.00010812823214847013
83,A-803467,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,0,0.010066778752111613
84,WHI‐P154,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,0,0.0008454856692989834
85,icotinib,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,1,0.5607932660879191
86,telatinib,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,0,0.00019966958413269718
87,CCTA-2,CCOc1ccccc1-c1cccc(NC(=O)C(Cl)Cl)c1,0,0.0005558262530584915
88,CCTA-3,CCOc1ccc(-c2cccc(NC(=O)C(Cl)Cl)c2)cc1,0,0.00024665474088896917
89,CCTA-5,CSc1cccc(-c2cccc(NC(=O)C(Cl)Cl)c2)c1,0,0.0006353800250804756
