,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
mean_fit_time,0.019965457916259765,0.01576676368713379,0.022236204147338866,0.014583444595336914,0.018065977096557616,0.022528886795043945,0.5868515491485595,0.3548741817474365,0.3982560634613037,0.1766202449798584,0.15749282836914064,0.11433200836181641,0.0630460262298584,0.06863412857055665,0.09129080772399903,0.053905582427978514,0.06925201416015625,0.05689592361450195,0.05810737609863281,0.04892997741699219,0.057186222076416014,0.0674346923828125,0.5221506118774414,0.07294788360595703,0.39036197662353517,0.05154361724853516,0.3504831790924072
std_fit_time,0.0070671148254710416,0.0007044539938315479,0.0074428285791742575,0.002327951914911387,0.004938517190665638,0.005170226913714278,0.14105627017902583,0.18422052456385773,0.10296024640750621,0.09393930376218947,0.03428743390516836,0.023314772219299024,0.01951131299828829,0.02273636140820067,0.04748995281781431,0.006511097850109852,0.02298325312241326,0.005958967923923782,0.01146377597553133,0.003661695513461299,0.00900823396099045,0.0024736545145989147,0.08514323044482369,0.027225739963480076,0.015107635145960864,0.004811830080240873,0.05572893842528862
mean_score_time,0.009105730056762695,0.017781496047973633,0.010398197174072265,0.009341716766357422,0.0061896324157714845,0.01715569496154785,0.01609339714050293,0.013576507568359375,0.008547544479370117,0.008949947357177735,0.010961294174194336,0.008380699157714843,0.008846426010131836,0.010922813415527343,0.008117389678955079,0.006757164001464843,0.011243200302124024,0.008693122863769531,0.0065480232238769535,0.007515907287597656,0.00755605697631836,0.014154815673828125,0.02428545951843262,0.01903085708618164,0.0312654972076416,0.009574031829833985,0.023627614974975585
std_score_time,0.002103992007103126,0.007738767266709418,0.004081899008697176,0.002283062308200832,0.0024485787183774785,0.010013845618911646,0.008716288897335566,0.006240167814623831,0.002769421504448791,0.0022784464066014777,0.004940199289964517,0.004076112618894253,0.0028445418650157456,0.006008876116116848,0.0020865980151620316,0.001102613901414971,0.0034797247490963804,0.0033041705966464895,0.0029940253650736106,0.0022493644582954656,0.0023396606679825125,0.004796185829375239,0.0017591447759346618,0.017880719698229772,0.005420662277055367,0.0010073586754996483,0.007255013363430876
param_clf,"SVC(C=50, gamma=0.0001, probability=True)","SVC(C=50, gamma=0.0001, probability=True)","SVC(C=50, gamma=0.0001, probability=True)","SVC(C=50, gamma=0.0001, probability=True)","SVC(C=50, gamma=0.0001, probability=True)","SVC(C=50, gamma=0.0001, probability=True)","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs')",RandomForestClassifier(max_depth=3),RandomForestClassifier(max_depth=3),RandomForestClassifier(max_depth=3),RandomForestClassifier(max_depth=3),RandomForestClassifier(max_depth=3),RandomForestClassifier(max_depth=3)
param_clf__C,1,1,50,50,1000,1000,,,,,,,,,,,,,,,,,,,,,
param_clf__gamma,0.001,0.0001,0.001,0.0001,0.001,0.0001,,,,,,,,,,,,,,,,,,,,,
param_clf__kernel,rbf,rbf,rbf,rbf,rbf,rbf,,,,,,,,,,,,,,,,,,,,,
param_sclr__scaler,StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler()
param_clf__alpha,,,,,,,0.1,0.1,0.1,0.001,0.001,0.001,1e-05,1e-05,1e-05,1e-07,1e-07,1e-07,1e-09,1e-09,1e-09,,,,,,
