,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
mean_fit_time,0.042546653747558595,0.06419358253479004,0.066807222366333,0.05878639221191406,0.06628298759460449,0.08691139221191406,0.4086630344390869,0.4515209674835205,0.44649057388305663,0.2180774211883545,0.23203535079956056,0.25142931938171387,0.11211018562316895,0.1428305149078369,0.11257810592651367,0.12872514724731446,0.11629738807678222,0.12730422019958496,0.11118144989013672,0.12680306434631347,0.12327232360839843,0.0843571662902832,0.43445048332214353,0.08742752075195312,0.5088538646697998,0.06706533432006836,0.39136176109313964
std_fit_time,0.01256854727482113,0.021653067157901794,0.03110205115120138,0.018421307061870073,0.0146759890035984,0.028080101385427294,0.032272828875999894,0.08293705161355201,0.04269096801294116,0.08165391514308701,0.06569968557091388,0.09517582678922815,0.024997637439953306,0.03255841310796831,0.00467393731122671,0.01951131630273397,0.022785214263534432,0.031460703485096136,0.004896012433620243,0.007578086008411883,0.027634431226302648,0.02051118115889824,0.09519705590002124,0.019645788947458033,0.03749171070188031,0.021912755101193997,0.06463751084843998
mean_score_time,0.0194732666015625,0.03278617858886719,0.019873571395874024,0.032689237594604494,0.02480945587158203,0.018971967697143554,0.02450084686279297,0.029536628723144533,0.013503122329711913,0.006929206848144531,0.008465385437011719,0.009843111038208008,0.010582542419433594,0.01674809455871582,0.011228275299072266,0.011191225051879883,0.015802907943725585,0.01226048469543457,0.012895727157592773,0.010099172592163086,0.009586763381958009,0.018221473693847655,0.035303163528442386,0.022043180465698243,0.031672191619873044,0.013277816772460937,0.030872869491577148
std_score_time,0.012614319398927607,0.03557148154110679,0.012818715299445728,0.015371476166539763,0.021677968341987007,0.005037308144145085,0.01769309983927302,0.02127781580265834,0.006178929784338586,0.001179486773246392,0.004134991393132517,0.004785277345586169,0.0047679680667850975,0.012574484168325283,0.0059101310210990165,0.005664613159855056,0.013230309040409472,0.006313488154278976,0.0059311886062062,0.002509699100254166,0.0038848758375754017,0.009589640475199163,0.014319134834189052,0.014664821346682145,0.011967987712372261,0.007570228074975423,0.011922455374648495
param_clf,SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),SVC(probability=True),"MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')","MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs')",RandomForestClassifier(),RandomForestClassifier(),RandomForestClassifier(),RandomForestClassifier(),RandomForestClassifier(),RandomForestClassifier()
param_clf__C,1,1,50,50,1000,1000,,,,,,,,,,,,,,,,,,,,,
param_clf__gamma,0.001,0.0001,0.001,0.0001,0.001,0.0001,,,,,,,,,,,,,,,,,,,,,
param_clf__kernel,rbf,rbf,rbf,rbf,rbf,rbf,,,,,,,,,,,,,,,,,,,,,
param_sclr__scaler,StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),StandardScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler(),MinMaxScaler()
param_clf__alpha,,,,,,,0.1,0.1,0.1,0.001,0.001,0.001,1e-05,1e-05,1e-05,1e-07,1e-07,1e-07,1e-09,1e-09,1e-09,,,,,,
param_clf__hidden_layer_sizes,,,,,,,10,12,14,10,12,14,10,12,14,10,12,14,10,12,14,,,,,,
param_clf__solver,,,,,,,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,lbfgs,,,,,,
param_clf__max_depth,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,7,7
param_clf__n_estimators,,,,,,,,,,,,,,,,,,,,,,10,100,10,100,10,100
params,"{'clf': SVC(probability=True), 'clf__C': 1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 50, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(probability=True), 'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=1e-09, hidden_layer_sizes=14, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 5, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 5, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 7, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'clf__max_depth': 7, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}"
split0_test_score,0.8235294117647058,0.5882352941176471,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.6470588235294118,0.7058823529411765,0.8235294117647058,0.7058823529411765
split1_test_score,0.875,0.5,0.75,0.75,0.875,0.75,0.8125,0.8125,0.75,0.75,0.8125,0.8125,0.8125,0.875,0.8125,0.875,0.875,0.8125,0.875,0.9375,0.9375,0.75,0.8125,0.9375,0.8125,0.625,0.75
