,0,1,2
mean_fit_time,0.01438732147216797,0.5914773941040039,0.3790460109710693
std_fit_time,0.0023982986198688465,0.04633879948201108,0.04755941174079401
mean_score_time,0.006849431991577148,0.00896625518798828,0.028130531311035156
std_score_time,0.0021745068089164404,0.003547455419788926,0.007443485016943812
param_clf,SVC(probability=True),MLPClassifier(),RandomForestClassifier()
param_sclr__scaler,StandardScaler(),MinMaxScaler(),MinMaxScaler()
params,"{'clf': SVC(probability=True), 'sclr__scaler': StandardScaler()}","{'clf': MLPClassifier(), 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(), 'sclr__scaler': MinMaxScaler()}"
split0_test_score,0.7692307692307693,0.7692307692307693,0.8461538461538461
split1_test_score,0.7692307692307693,0.5384615384615384,0.7692307692307693
split2_test_score,0.8461538461538461,0.6923076923076923,0.9230769230769231
split3_test_score,0.6666666666666666,0.5833333333333334,0.5833333333333334
split4_test_score,0.5833333333333334,0.5833333333333334,0.5833333333333334
mean_test_score,0.7269230769230769,0.6333333333333334,0.7410256410256411
std_test_score,0.09170028072947521,0.08479002955787925,0.13764001298874687
rank_test_score,2,3,1
split0_train_score,0.92,1.0,1.0
split1_train_score,0.94,1.0,1.0
split2_train_score,0.9,1.0,1.0
split3_train_score,0.9215686274509803,1.0,1.0
split4_train_score,0.9411764705882353,1.0,1.0
mean_train_score,0.924549019607843,1.0,1.0
std_train_score,0.01514883230940031,0.0,0.0
